id,Name,Aerial Duels won,Age,Assists,Attacking options created,Attempted Passes,Blocks,Clearances,Country_val,Expected Goal Contributions,Interceptions,Open Play Goals,Open Play Expected Goals,Percentage of Passes Completed,Progressive Passes Rec,Progressive Passes,Progressive Carries,Shots,Successful Dribbles,Touches in attacking penalty area,Tackles,Value at beginning of 2020/21 season,Value at beginning of 2021/22 season,Value at beginning of 2022/23 season,Value at beginning of 2023/24 season
1548,Suso,0.4,29,0.23,5.24,48.3,0.57,0.23,10,0.22,0.2,0.17,0.12,77.9,8.51,6.81,2.61,2.5,1.98,1.93,1.64,20,16,10,6
800,Joseba Zaldua,2.7,31,0.14,1.04,39,0.56,3.1,10,0,1.6,0,0,68.6,2.82,1.83,1.83,0.14,0.42,0.56,2.11,10,4,4,2.5
160,Arnau Puigmal,0.4,22,0,3.22,32.3,0.83,0.71,10,0.06,1.3,0.12,0.15,70.4,6.72,1.89,2.83,2.01,1.18,3.18,2.6,0.9,0.9,1,2
956,Lorenz Assignon,2.1,23,0.32,1.86,50.3,1.61,2.73,2,0.11,1.2,0.16,0.11,78.6,4.66,3.7,3.7,1.13,0.96,2.57,1.93,,2,3,5
1186,Mykhailo Mudryk,0.4,22,0.28,2.69,28,0.64,0.36,50,0.13,0.1,0.21,0.25,72.6,5.68,2.49,3.69,1.85,1.85,3.55,1.28,0.2,4,9,50
821,Jubal,2.1,29,0.03,0.56,37.6,1.59,5.4,3,0.01,1.5,0.06,0.07,81.7,0.03,2.04,0.2,0.5,0.06,0.87,1.15,0.6,1,2,2
1435,Roque Mesa,0.6,34,0.06,2.34,53.6,0.89,1,10,0.06,0.7,0.11,0.09,82,1.34,6.46,1.61,1.45,0.83,0.5,1.5,4,2.5,2.5,2.5
877,Khvicha Kvaratskhelia,0.4,22,0.39,5.3,39.9,0.73,0.31,50,0.3,0.2,0.31,0.32,78.1,10.46,3.08,5.36,3.31,3.08,6.73,1.54,10,16,15,85
913,Lameck Banda,0.4,22,0.06,2.43,23.6,1.32,0.28,50,0.08,0.5,0.11,0.19,65,8.8,1.54,4.73,1.98,2.64,4.07,1.65,0.3,0.2,0.3,4
152,Ardian Ismajli,2.5,26,0,0.49,44.2,2.02,5.16,50,0.01,1.2,0,0.03,84.6,0,1.81,0.43,0.39,0.09,0.77,1.72,1.5,2,1.8,3.5
